Ticket_ID,Created_Date,Priority,Is_Escalated,Is_Autosolved,Is_Requester_From_Doit,Is_Cloud_Support_Case_Used,Cloud_Platform,Practice_Area,Skill_Group,Product,Subject,Agent_Name,Requester_Organization_Name,Sentiment_Integer,Average_Solve_Time_Hours,comment_count,conversation_duration_days,Best_Matched_Issue,Best_Matched_Resolution,similarity_score,search_method
183413,3/7/2024,normal,FALSE,TRUE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker Studio,Looker Studio Issue with Connecting Google Sheets as Add Data,Hanna Schulze,moonactive.com,2,148.7,4,0,Compliance ,Finance Ops Fix ,0.6449626136,Similarity
184716,3/13/2024,high,FALSE,FALSE,FALSE,TRUE,Google Cloud,Data and Analytics,Data,Looker,Looker embed signed embed authentication broken,Dion Edge,sell-pick.com,4,16.4,18,0,Reliability and Availability ,Abandoned ,,Keyword
185555,3/18/2024,normal,FALSE,FALSE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker,Aggregate Aware PDTs not being used and not able to create new ones ,Dion Edge,autotrader.co.uk,3,723.2,45,30,Performance Challenges ,New Feature / Enhancement ,,Keyword
189202,4/3/2024,low,FALSE,FALSE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker,Adding images from a drive to a Looker dashboard,Jonathan Reinhard,shalion.com,3,2.8,7,0,Cost Management ,Duplicate / Merged ,,Keyword
197601,5/7/2024,low,FALSE,FALSE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker Studio,email reports: cant find config screen anymore,Philipp Heinrich,deepomatic.com,3,148.5,7,6,Interoperability and Flexibility ,Finance Ops Fix ,0.6048568182,Similarity
200147,5/16/2024,normal,FALSE,FALSE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker Studio,Manage looker studio subscription,Arian Kuschki,intuitionrobotics.com,3,166.9,10,6,Multiple Cloud Management ,Other Internal Dept ,,Keyword
202514,5/28/2024,high,FALSE,TRUE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker,Database connection timeouts,Jonathan Reinhard,autotrader.co.uk,2,173.3,9,1,High Dependence on Network ,Third Party ,,Keyword
213857,7/11/2024,low,FALSE,FALSE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker,do we have any Looker API endpoint to query each user Snowflake Ouath token expire date?,Joe Dabbert,block.xyz,3,2.6,9,0,Data Security and Privacy ,Abandoned ,,Keyword
214001,7/12/2024,high,FALSE,TRUE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker Studio,Looker Connector does not allow users to export data,Dion Edge,recursionpharma.com,2,1177.3,46,44,Interoperability and Flexibility ,Finance Ops Fix ,,Keyword
215449,7/24/2024,high,FALSE,FALSE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker,moving our looker URL into our google URL,Marcin Orlinski,superplay.co,3,987.1,23,42,Interoperability and Flexibility ,Duplicate / Merged ,,Keyword
215897,7/29/2024,low,FALSE,TRUE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker,General questions regarding Looker,Jonathan Reinhard,sybogames.com,2,385.1,8,9,Interoperability and Flexibility ,Abandoned ,,Keyword
216005,7/29/2024,low,FALSE,TRUE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker,Looker API,Joe Dabbert,qobuz.com,2,242.5,10,3,Cost Management ,Abandoned ,,Keyword
220003,8/30/2024,low,FALSE,FALSE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker Studio,Want to share Looker Studio reports with parent company,Eric Downing,squadle.com,3,0,17,6,Password Security ,Other Internal Dept ,,Keyword
